Nombre,Pelo,Plumas,Huevos,Leche,Volador,Acuatico,Depredador,Dentado,Vertebrado,Respira,Venenoso,Aletas,Patas,Cola,Domestico,catsize,Tipo
flea,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bicho
frog,0,0,1,0,0,1,1,1,1,1,0,0,4,0,0,0,Amfibio
frog,0,0,1,0,0,1,1,1,1,1,1,0,4,0,0,0,Amfibio
fruitbat,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mamifero
giraffe,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mamifero
girl,1,0,0,1,0,0,1,1,1,1,0,0,2,0,1,1,Mamifero
gnat,0,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bicho
goat,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mamifero
gorilla,1,0,0,1,0,0,0,1,1,1,0,0,2,0,0,1,Mamifero
gull,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Ave
haddock,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Pez
hamster,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,0,Mamifero
hare,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mamifero
hawk,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,0,Ave
herring,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Pez
honeybee,1,0,1,0,1,0,0,0,0,1,1,0,6,0,1,0,Bicho
housefly,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bicho
kiwi,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,0,Ave
ladybird,0,0,1,0,1,0,1,0,0,1,0,0,6,0,0,0,Bicho
lark,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Ave
leopard,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
lion,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
lobster,0,0,1,0,0,1,1,0,0,0,0,0,6,0,0,0,Invertebrado
lynx,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
mink,1,0,0,1,0,1,1,1,1,1,0,0,4,1,0,1,Mamifero
mole,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mamifero
mongoose,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
moth,1,0,1,0,1,0,0,0,0,1,0,0,6,0,0,0,Bicho
newt,0,0,1,0,0,1,1,1,1,1,0,0,4,1,0,0,Amfibio
octopus,0,0,1,0,0,1,1,0,0,0,0,0,8,0,0,1,Invertebrado
opossum,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,0,Mamifero
oryx,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,1,Mamifero
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,2,1,0,1,Ave
parakeet,0,1,1,0,1,0,0,0,1,1,0,0,2,1,1,0,Ave
penguin,0,1,1,0,0,1,1,0,1,1,0,0,2,1,0,1,Ave
pheasant,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Ave
pike,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Pez
piranha,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,0,Pez
pitviper,0,0,1,0,0,0,1,1,1,1,1,0,0,1,0,0,Reptil
platypus,1,0,1,1,0,1,1,0,1,1,0,0,4,1,0,1,Mamifero
polecat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
pony,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mamifero
porpoise,0,0,0,1,0,1,1,1,1,1,0,1,0,1,0,1,Mamifero
puma,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
pussycat,1,0,0,1,0,0,1,1,1,1,0,0,4,1,1,1,Mamifero
raccoon,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
reindeer,1,0,0,1,0,0,0,1,1,1,0,0,4,1,1,1,Mamifero
rhea,0,1,1,0,0,0,1,0,1,1,0,0,2,1,0,1,Ave
scorpion,0,0,0,0,0,0,1,0,0,1,1,0,8,1,0,0,Invertebrado
seahorse,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Pez
seal,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,Mamifero
sealion,1,0,0,1,0,1,1,1,1,1,0,1,2,1,0,1,Mamifero
seasnake,0,0,0,0,0,1,1,1,1,0,1,0,0,1,0,0,Reptil
seawasp,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,Invertebrado
skimmer,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Ave
skua,0,1,1,0,1,1,1,0,1,1,0,0,2,1,0,0,Ave
slowworm,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,Reptil
slug,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrado
sole,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,Pez
sparrow,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Ave
squirrel,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,0,Mamifero
starfish,0,0,1,0,0,1,1,0,0,0,0,0,5,0,0,0,Invertebrado
stingray,0,0,1,0,0,1,1,1,1,0,1,1,0,1,0,1,Pez
swan,0,1,1,0,1,1,0,0,1,1,0,0,2,1,0,1,Ave
termite,0,0,1,0,0,0,0,0,0,1,0,0,6,0,0,0,Bicho
toad,0,0,1,0,0,1,0,1,1,1,0,0,4,0,0,0,Amfibio
tortoise,0,0,1,0,0,0,0,0,1,1,0,0,4,1,0,1,Reptil
tuatara,0,0,1,0,0,0,1,1,1,1,0,0,4,1,0,0,Reptil
tuna,0,0,1,0,0,1,1,1,1,0,0,1,0,1,0,1,Pez
vampire,1,0,0,1,1,0,0,1,1,1,0,0,2,1,0,0,Mamifero
vole,1,0,0,1,0,0,0,1,1,1,0,0,4,1,0,0,Mamifero
vulture,0,1,1,0,1,0,1,0,1,1,0,0,2,1,0,1,Ave
wallaby,1,0,0,1,0,0,0,1,1,1,0,0,2,1,0,1,Mamifero
wasp,1,0,1,0,1,0,0,0,0,1,1,0,6,0,0,0,Bicho
wolf,1,0,0,1,0,0,1,1,1,1,0,0,4,1,0,1,Mamifero
worm,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Invertebrado
wren,0,1,1,0,1,0,0,0,1,1,0,0,2,1,0,0,Ave
