"RI","Na","Mg","Al","Si","K","Ca","Ba","Fe","Class"
"(1.519,1.524]","(14.1,17.4]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","[0,0.055]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","(1.405,1.555]","(73,73.3]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(73,73.3]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(73,73.3]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(73.3,75.4]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"[1.511,1.516]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(14.1,17.4]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(14.1,17.4]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(73,73.3]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",1
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",1
"(1.524,1.534]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","[0,0.055]","(8.32,10.4]","[0,0.255]","(0.075,0.105]",1
"(1.519,1.524]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",1
"(1.519,1.524]","(13,13.5]","(2.7,3.34]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.105,0.115]",1
"(1.518,1.519]","(13,13.5]","(2.7,3.34]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.518,1.519]","(13,13.5]","(2.7,3.34]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13,13.5]","(2.7,3.34]","[0.29,1.405]","(72.9,73]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.075,0.105]",1
"(1.517,1.518]","(12.4,12.9]","(2.7,3.34]","[0.29,1.405]","(73.3,75.4]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",1
"[1.511,1.516]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",1
"(1.518,1.519]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",1
"(1.517,1.518]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","(0.105,0.115]",1
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","(0.335,1.96]","[0,0.075]",1
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.105,0.115]",1
"(1.519,1.524]","(14.1,17.4]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","[0,0.055]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.519,1.524]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",1
"(1.519,1.524]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",1
"(1.519,1.524]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",1
"(1.519,1.524]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",1
"(1.516,1.517]","(14.1,17.4]","(3.34,3.87]","(1.565,1.92]","(71.3,72.1]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.518,1.519]","(13.5,14.1]","(3.87,4.49]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(73,73.3]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.565,1.92]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(73,73.3]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(73,73.3]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","(1.565,1.92]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","(1.92,2.95]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(73,73.3]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","(0.075,0.105]",2
"[1.511,1.516]","(14.1,17.4]","(2.7,3.34]","(1.92,2.95]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(73,73.3]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","(0.075,0.105]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","(1.565,1.92]","(73,73.3]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","(0.075,0.105]",2
"(1.518,1.519]","(12.9,13]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(12.9,13]","(3.34,3.87]","(1.405,1.555]","(73,73.3]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.565,1.92]","(73,73.3]","(0.055,0.085]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(13,13.5]","(2.7,3.34]","(1.405,1.555]","(73,73.3]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(12.4,12.9]","(2.7,3.34]","(1.405,1.555]","(73.3,75.4]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.517,1.518]","[10.7,12.4]","(2.7,3.34]","[0.29,1.405]","(73.3,75.4]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(12.4,12.9]","(2.7,3.34]","(1.565,1.92]","(73,73.3]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(12.9,13]","(2.7,3.34]","(1.405,1.555]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(12.4,12.9]","(2.7,3.34]","(1.405,1.555]","(73,73.3]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.517,1.518]","[10.7,12.4]","(2.7,3.34]","(1.565,1.92]","(72.1,72.9]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(12.4,12.9]","(2.7,3.34]","[0.29,1.405]","(73.3,75.4]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.524,1.534]","(13.5,14.1]","(2.7,3.34]","[0.29,1.405]","[69.8,71.3]","(0.055,0.085]","(11.2,12.9]","[0,0.255]","[0,0.075]",2
"(1.524,1.534]","(13.5,14.1]","(2.7,3.34]","[0.29,1.405]","[69.8,71.3]","(0.055,0.085]","(10.4,11.2]","[0,0.255]","[0,0.075]",2
"(1.524,1.534]","[10.7,12.4]","[0,0.165]","(1.565,1.92]","(72.1,72.9]","(0.605,1.25]","(12.9,16.2]","[0,0.255]","(0.115,0.36]",2
"(1.524,1.534]","[10.7,12.4]","[0,0.165]","(1.92,2.95]","[69.8,71.3]","(0.085,0.605]","(12.9,16.2]","(3.01,3.15]","(0.115,0.36]",2
"(1.524,1.534]","[10.7,12.4]","[0,0.165]","[0.29,1.405]","[69.8,71.3]","(0.085,0.605]","(12.9,16.2]","[0,0.255]","(0.115,0.36]",2
"(1.519,1.524]","(14.1,17.4]","[0,0.165]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(11.2,12.9]","[0,0.255]","(0.075,0.105]",2
"(1.518,1.519]","(13.5,14.1]","[0,0.165]","[0.29,1.405]","(73.3,75.4]","[0,0.055]","(10.4,11.2]","[0,0.255]","[0,0.075]",2
"(1.524,1.534]","[10.7,12.4]","[0,0.165]","[0.29,1.405]","(73,73.3]","[0,0.055]","(12.9,16.2]","[0,0.255]","[0,0.075]",2
"(1.524,1.534]","[10.7,12.4]","[0,0.165]","[0.29,1.405]","(73,73.3]","[0,0.055]","(12.9,16.2]","[0,0.255]","[0,0.075]",2
"(1.524,1.534]","(12.4,12.9]","[0,0.165]","[0.29,1.405]","(71.3,72.1]","(0.055,0.085]","(12.9,16.2]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.518,1.519]","(13,13.5]","(3.87,4.49]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13,13.5]","(3.87,4.49]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13,13.5]","(3.87,4.49]","(1.405,1.555]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","(0.075,0.105]",2
"(1.516,1.517]","(13.5,14.1]","(3.34,3.87]","(1.565,1.92]","(71.3,72.1]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(13.5,14.1]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(12.9,13]","(3.34,3.87]","(1.565,1.92]","(72.9,73]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.405,1.555]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13.5,14.1]","(3.34,3.87]","(1.565,1.92]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.519,1.524]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(12.9,13]","(3.34,3.87]","(1.555,1.565]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(12.9,13]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",2
"(1.519,1.524]","(13.5,14.1]","(2.14,2.7]","(1.405,1.555]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.519,1.524]","(13.5,14.1]","(0.165,2.14]","(1.565,1.92]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","(0.255,0.335]","(0.115,0.36]",2
"(1.519,1.524]","(13.5,14.1]","(0.165,2.14]","(1.565,1.92]","(71.3,72.1]","(0.085,0.605]","(10.4,11.2]","[0,0.255]","(0.115,0.36]",2
"(1.519,1.524]","(13.5,14.1]","(0.165,2.14]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(10.4,11.2]","[0,0.255]","[0,0.075]",2
"(1.524,1.534]","(13.5,14.1]","[0,0.165]","[0.29,1.405]","[69.8,71.3]","(0.085,0.605]","(12.9,16.2]","[0,0.255]","(0.075,0.105]",2
"(1.518,1.519]","(13,13.5]","(3.87,4.49]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13.5,14.1]","(3.87,4.49]","(1.405,1.555]","(71.3,72.1]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.517,1.518]","(13,13.5]","(3.87,4.49]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(73,73.3]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(12.9,13]","(3.34,3.87]","(1.565,1.92]","(72.9,73]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","(1.405,1.555]","(73.3,75.4]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","(1.565,1.92]","(73,73.3]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.565,1.92]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.518,1.519]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","(1.405,1.555]","(72.9,73]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","(0.115,0.36]",2
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.565,1.92]","(72.1,72.9]","(0.605,1.25]","(7.02,8.32]","[0,0.255]","[0,0.075]",2
"(1.516,1.517]","(13,13.5]","(2.7,3.34]","[0.29,1.405]","(72.9,73]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.518,1.519]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",2
"(1.517,1.518]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.075,0.105]",3
"(1.516,1.517]","[10.7,12.4]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","(1.565,1.92]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","(0.115,0.36]",3
"(1.519,1.524]","(14.1,17.4]","(3.87,4.49]","[0.29,1.405]","(71.3,72.1]","[0,0.055]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.517,1.518]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.055,0.085]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(7.02,8.32]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(12.4,12.9]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.605,1.25]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.9,73]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.516,1.517]","(13,13.5]","(3.34,3.87]","[0.29,1.405]","(72.1,72.9]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
"(1.519,1.524]","(13.5,14.1]","(3.34,3.87]","[0.29,1.405]","(71.3,72.1]","(0.085,0.605]","(8.32,10.4]","[0,0.255]","[0,0.075]",3
